,playername,rating,rd,kills,deaths,assists,earned gpm
0,Leo,1537.6528264644767,52.32081043834624,3.549019607843137,2.088235294117647,5.284313725490196,292.8545382352941
1,OnFleek,1605.5316602655255,40.36321283919637,2.2745098039215685,2.819607843137255,6.066666666666666,203.05004
2,FATE,1457.6569764692579,44.18221694042935,2.6643598615916955,1.820069204152249,4.532871972318339,261.0253342560554
3,GorillA,1481.7297191234504,80.09541465495364,0.4,2.6222222222222222,6.522222222222222,89.83201333333334
4,Summit,1655.6376491933968,36.77621076465741,2.55956678700361,3.191335740072202,4.667870036101083,266.10604404332133
5,Teddy,1467.7812905786989,37.36193894395,3.7436708860759493,1.8639240506329113,4.5,301.84454683544305
6,Cuzz,1669.2978755218921,33.69317391339844,2.165775401069519,2.0802139037433154,6.625668449197861,202.42692593582888
7,Faker,1821.663594521959,33.90319555723262,2.874739039665971,2.0250521920668056,5.6367432150313155,272.47546096033403
8,Kuri,1626.613455284286,56.91765753517922,0.5490196078431373,2.392156862745098,9.254901960784315,107.42810196078432
9,Canna,1622.8028199677947,41.09079782844891,2.589385474860335,2.1564245810055866,4.706703910614525,263.38701229050275
10,Effort,1449.8518585931847,35.00524600774555,0.6334310850439883,2.7595307917888565,6.724340175953079,101.59680029325513
11,Roach,1733.297183537618,90.41049065477385,2.6,2.057142857142857,6.285714285714286,248.9114514285714
12,Route,1705.6966859609722,42.17714218125244,3.9202127659574466,2.00531914893617,4.9787234042553195,294.17059308510636
13,Dove,1538.97681065234,48.89126932329623,2.0376344086021505,2.4301075268817205,4.467741935483871,236.94748870967743
14,Deft,1667.8183593591525,33.64971373255639,3.8316430020283976,2.0121703853955375,5.012170385395538,303.0008131845842
15,Pyosik,1660.1106197127476,35.0142992257455,2.6439024390243904,2.44390243902439,6.0634146341463415,210.83253731707316
16,Chovy,1844.1637851852183,34.63411404382468,3.507042253521127,1.6519114688128773,5.531187122736418,305.8185744466801
17,Keria,1766.66114502707,33.29367479496125,0.9012797074954296,2.1755027422303472,8.692870201096893,123.71384003656307
18,Doran,1766.8212592112282,34.40354198385516,2.380434782608696,2.502173913043478,5.3652173913043475,269.1752204347826
19,Mystic,1515.919357168469,79.04999642402254,3.8514851485148514,2.5247524752475248,4.485148514851486,299.2160415841584
20,Spirit,1524.0692976471928,79.94789460275068,2.160919540229885,2.4022988505747125,6.597701149425287,184.78970574712645
21,Fly,1501.2309859351342,70.18455768138003,2.3424657534246576,2.4726027397260273,5.623287671232877,235.0095890410959
22,Jelly,1600.5667855611155,47.289434439033016,0.8914285714285715,3.085714285714286,8.325714285714286,107.0061182857143
23,Kiin,1737.5409006694697,34.21349613205908,2.3696682464454977,2.2630331753554502,4.808056872037914,261.2968857819905
24,Joker,1253.0503761677962,199.72122926511042,0.2857142857142857,3.2857142857142856,4.285714285714286,80.28357142857143
25,SSUN,1405.3247033195025,136.1298339775636,3.357142857142857,1.5,4.142857142857143,237.53732142857143
26,Puff,1585.930940586628,73.80610963390491,4.284552845528455,2.2601626016260163,4.813008130081301,306.0598268292683
27,Ning,1576.8230417303284,81.26398333279961,2.6231884057971016,2.7971014492753623,6.884057971014493,206.91415217391304
28,Rookie,1595.3295418048142,71.16590811683425,3.3142857142857145,2.642857142857143,6.542857142857143,256.1673557142857
29,Southwind,1538.8953537122054,85.99356868471773,0.8115942028985508,2.2753623188405796,8.08695652173913,115.57881014492753
30,TheShy,1690.7717660880485,56.26624189229631,2.8867924528301887,3.7044025157232703,4.968553459119497,269.1022566037736
31,Lwx,1646.212888401477,67.828741735676,4.318918918918919,2.2864864864864867,5.486486486486487,309.5031016216216
32,Tian,1636.8507019761996,67.02081216200187,2.6645569620253164,2.7278481012658227,6.993670886075949,206.88465379746836
33,Doinb,1646.9220155983098,68.16202864239686,3.4545454545454546,2.2613636363636362,7.028409090909091,285.55091306818184
34,Crisp,1699.412221489485,54.31058332355086,0.7661691542288557,2.701492537313433,8.616915422885572,109.63196467661692
35,Khan,1777.5361594461733,65.39578256753867,2.9653179190751446,2.520231213872832,6.213872832369942,256.6850421965318
36,Kramer,1536.638406090402,71.40607714334868,3.6666666666666665,2.2222222222222223,5.194444444444445,293.8696722222222
37,Peanut,1809.4309825719754,34.50130620409464,2.6851063829787236,2.1127659574468085,6.717021276595744,218.49955851063828
38,Yuuki,1438.880105741022,93.56319743037857,3.022727272727273,3.1136363636363638,5.7272727272727275,261.4725045454545
39,Chance,1423.3130244958604,94.45179436767579,0.6410256410256411,3.7435897435897436,7.538461538461538,97.60122051282052
40,fearness,1494.5586326668022,72.31915819166137,2.379032258064516,2.911290322580645,4.854838709677419,243.46119516129033
41,Asura,1509.6408055160496,76.24711996605063,4.706666666666667,2.7733333333333334,5.466666666666667,307.54748666666666
42,Xx,1409.9558556587685,83.93285079977261,1.6666666666666667,2.6533333333333333,5.626666666666667,179.17271733333334
43,Maple,1691.2164335835123,38.019870305570365,3.522727272727273,1.9393939393939394,6.041666666666667,269.37097954545453
44,Duan,1397.4663487069781,89.50298738828955,0.5892857142857143,3.5,6.535714285714286,98.08954285714286
45,Flandre,1699.9321989378495,64.7694814265813,2.366412213740458,2.4427480916030535,5.083969465648855,261.921741221374
46,Leyan,1577.9643620609315,74.33398809726336,3.1157894736842104,3.389473684210526,5.421052631578948,227.3691305263158
47,Wink,1548.8557165704046,75.8836246371615,3.860215053763441,2.3655913978494625,5.903225806451613,311.97652258064517
48,Wei,1809.9510952070345,57.88269402515118,3.3179723502304146,2.5299539170506913,7.746543778801843,219.79104884792625
49,Cryin,1744.0096172076205,67.3275081099473,3.6934306569343067,2.27007299270073,7.693430656934306,272.0575459854015
50,ShiauC,1560.6582440809366,51.046735642623,1.0,3.574074074074074,8.25925925925926,107.85255555555557
51,Xiaobai,1497.6363278333313,81.54293534297652,2.4358974358974357,2.948717948717949,5.4743589743589745,228.64408589743593
52,ZWuJi,1451.8007329317477,80.41984771250866,3.7738095238095237,2.6666666666666665,6.130952380952381,272.9220773809524
53,Haro,1367.6962770650966,75.62695833885726,3.489130434782609,2.9565217391304346,5.076086956521739,214.7554739130435
54,Steel,1455.8733094649767,75.0555390306916,2.8205128205128207,2.5641025641025643,6.230769230769231,233.0046371794872
55,Ley,1465.111899500337,80.88514892579802,0.8536585365853658,3.768292682926829,9.085365853658537,106.14819268292682
56,Holder,1460.193642403337,89.186251967483,2.347826086956522,3.717391304347826,6.0,206.9077195652174
57,Ruby,1621.8351134814748,52.25502552446293,3.763819095477387,2.8894472361809047,6.336683417085427,264.85761306532663
58,Smlz,1438.6613012001003,82.96225548985265,2.887323943661972,2.5774647887323945,4.295774647887324,278.1264718309859
59,H4cker,1392.6900401592382,73.46235422354111,1.9916666666666667,2.725,5.666666666666667,194.5810441666667
60,icon,1515.809039358271,71.29739346732543,2.909090909090909,2.6363636363636362,4.71969696969697,254.20073106060607
61,COLD,1424.23520397119,74.1567592137886,0.660377358490566,3.1792452830188678,6.915094339622642,97.70863773584905
62,Breathe,1652.616830560475,64.24307285875909,2.8859060402684564,2.7651006711409396,4.409395973154362,262.2907590604027
63,LokeN,1604.8095247123085,50.825430130928915,4.482142857142857,1.7321428571428572,5.691964285714286,317.2703638392857
64,Kanavi,1799.3518513748563,51.949192384205546,3.564766839378238,2.393782383419689,6.880829015544041,242.99906269430053
65,Yagao,1795.7098030260645,47.548789491333714,3.227272727272727,2.106060606060606,6.621212121212121,263.9716919191919
66,LvMao,1678.8653418122449,71.71631427956355,0.7483443708609272,3.033112582781457,9.2317880794702,106.4781940397351
67,Zoom,1701.3618550978563,72.44067318506606,2.8244274809160306,2.366412213740458,6.106870229007634,271.50598244274806
68,iBoy,1611.021227746815,70.10830821382073,3.6206896551724137,2.1586206896551725,5.248275862068965,298.92756137931036
69,Chieftain,1566.5370221247463,58.143222686592225,2.1466666666666665,2.8266666666666667,5.8,194.46397066666668
70,Forge,1447.9296426883611,75.88829255648133,3.0,2.880952380952381,5.488095238095238,253.17542976190475
71,Maestro,1461.3776248096633,92.66275481025407,0.6410256410256411,2.8205128205128207,5.871794871794871,86.95252307692307
72,Cube,1641.9953722439438,70.56179037263497,2.2482758620689656,2.420689655172414,5.503448275862069,240.0399027586207
73,Jinjiao,1382.584538646612,95.34456744231451,3.1363636363636362,2.4318181818181817,4.818181818181818,277.96667954545455
74,Meteor,1480.7038994240972,73.59741213491422,2.462962962962963,2.175925925925926,6.314814814814815,212.70927685185185
75,FoFo,1567.4580573605854,71.64953472905466,3.3969465648854964,1.916030534351145,5.603053435114504,261.47563282442746
76,XinMo,1456.1988271022346,80.86620556308563,0.5647058823529412,3.2705882352941176,7.517647058823529,92.54209294117648
77,Kingen,1593.2649752501402,34.12085613672167,2.0073170731707317,2.392682926829268,4.548780487804878,246.35666024390244
78,GALA,1778.0750488704693,52.516431510887344,4.679425837320574,1.8564593301435406,5.320574162679426,326.11775119617226
