,teamname,rating,rd,kills,deaths,assists,ckpm,team kpm
97,Malvinas Gaming,950.8374522252263,169.07975409338056,10.13,14.68,22.54,0.753079,0.299678
98,River Plate Gaming,896.8035357605794,155.7571232841939,13.545454545454545,12.447552447552448,33.0,0.7544076923076923,0.39231398601398604
99,9z Team,951.8044640235063,169.98410360176524,13.247524752475247,11.92079207920792,30.742574257425744,0.7633871287128714,0.4032217821782178
100,Isurus Academy,1061.6885809372386,202.5073437211262,12.065217391304348,12.347826086956522,27.956521739130434,0.7044217391304347,0.3520630434782609
101,Coliseo Dragons,1085.2946347233215,209.67810435071468,6.805555555555555,13.472222222222221,15.277777777777779,0.6464472222222223,0.20828611111111112
102,Intel New Indians,1040.1599056131727,195.61531470925232,10.548387096774194,14.016129032258064,25.741935483870968,0.7297758064516129,0.31191451612903226
103,G2 Esports,809.4195273906165,134.77480234190543,16.185897435897434,13.076923076923077,36.8974358974359,0.9355439102564103,0.5238432692307692
104,MAD Lions,819.3582003236995,137.42484817760266,14.540636042402827,14.512367491166078,33.50176678445229,0.9102169611307421,0.45276219081272084
105,SK Gaming,860.1034021265677,145.52838626326877,11.666666666666666,13.091954022988507,27.92528735632184,0.7623224137931035,0.35573045977011497
106,Team Vitality,860.432409796076,145.86231837406677,12.17283950617284,13.901234567901234,27.882716049382715,0.7980462962962963,0.3741166666666667
107,Rogue,862.7289998488441,147.9995479001179,12.941489361702128,11.595744680851064,30.47340425531915,0.744922340425532,0.39198510638297873
108,Misfits Gaming,913.6002703303154,160.41492727169208,12.85981308411215,14.317757009345794,29.149532710280372,0.8306476635514018,0.3926345794392523
109,Excel Esports,887.8583744878651,152.80591681880813,11.773972602739725,14.267123287671232,28.376712328767123,0.7925527397260274,0.35816506849315066
110,FC Schalke 04 Esports,843.5915463327522,142.04472924404513,13.396135265700483,13.082125603864734,30.516908212560388,0.8024314009661835,0.4011140096618357
111,Fnatic,809.6674658739054,135.0651014591154,14.24,14.254545454545454,32.66909090909091,0.896205090909091,0.44915054545454547
112,Origen,1061.6885809372386,202.5073437211262,12.104166666666666,10.5,27.958333333333332,0.6543541666666667,0.34713125000000006
113,Evil Geniuses Academy,905.8394734692824,158.69195453028019,14.030456852791879,14.766497461928934,30.893401015228427,0.8842822335025381,0.42836497461928935
114,Dignitas Academy,890.3316043992997,154.7527436623516,14.370786516853933,12.775280898876405,33.79213483146067,0.8344494382022473,0.44011685393258426
115,Cloud9 Academy,897.9573143011291,156.70245995159397,15.917525773195877,12.087628865979381,34.50515463917526,0.8932670103092784,0.5116262886597938
116,Team Liquid Academy,890.3316043992997,154.7527436623516,14.69811320754717,12.93867924528302,33.02358490566038,0.8605198113207546,0.46608915094339626
117,TSM Academy,905.8394734692824,158.69195453028019,12.710526315789474,13.989473684210527,28.852631578947367,0.8156052631578947,0.3878773684210527
